<TICKER>,<PER>,<DATE>,<TIME>,<USD_OPEN>,<USD_HIGH>,<USD_LOW>,<USD_CLOSE>,<USD_VOL>
USDRUB,60,20160215,020000,78.5840000,78.5840000,78.3635000,78.3635000,12
USDRUB,60,20160215,030000,78.3635000,78.5840000,78.3635000,78.3635000,12
USDRUB,60,20160215,040000,78.3635000,78.5840000,76.9134000,76.9138000,44
USDRUB,60,20160215,050000,77.2093000,77.8067000,76.5969000,76.8924000,60
USDRUB,60,20160215,060000,76.8924000,78.3635000,76.8924000,78.0558000,22
USDRUB,60,20160215,070000,78.1512000,78.3635000,77.7495000,78.3145000,15
USDRUB,60,20160215,080000,78.3145000,78.3635000,76.6709000,77.9705000,14
USDRUB,60,20160215,090000,78.2660000,78.3635000,77.8745000,78.1250000,28
USDRUB,60,20160215,100000,78.3200000,78.3200000,77.8245000,78.1130000,28
USDRUB,60,20160215,110000,78.1130000,79.4350000,77.7245000,77.9387000,66
USDRUB,60,20160215,120000,78.0079000,78.0079000,77.4000000,77.5533000,126
USDRUB,60,20160215,130000,77.6392000,77.9381000,77.3810000,77.7424000,35925
USDRUB,60,20160215,140000,77.7424000,77.9868000,77.7094000,77.8641000,30964
USDRUB,60,20160215,150000,77.8651000,77.9652000,77.6144000,77.7346000,21383
USDRUB,60,20160215,160000,77.7346000,77.7736000,77.2844000,77.4036000,29355
USDRUB,60,20160215,170000,77.4036000,77.4376000,77.1644000,77.3474000,25055
USDRUB,60,20160215,180000,77.3474000,77.3636000,76.8820000,76.8956000,27183
USDRUB,60,20160215,190000,76.9126000,77.4711000,76.8544000,77.4266000,34251
USDRUB,60,20160215,200000,77.4382000,77.4716000,77.1544000,77.3501000,34790
USDRUB,60,20160215,210000,77.3501000,77.5666000,77.2044000,77.3201000,35162
USDRUB,60,20160215,220000,77.3453000,77.8326000,77.2244000,77.8121000,29455
USDRUB,60,20160215,230000,77.8201000,77.8791000,77.5707000,77.6457000,21992
USDRUB,60,20160216,000000,77.6728000,77.6728000,77.1850000,77.3946000,15476
USDRUB,60,20160216,010000,77.3741000,77.4586000,77.0900000,77.2231000,11665
USDRUB,60,20160216,020000,77.2456000,77.6526000,76.5520000,76.8935000,10757
USDRUB,60,20160216,030000,76.9780000,77.9481000,76.9562000,77.7582000,38
USDRUB,60,20160216,040000,78.0537000,78.0537000,76.9533000,76.9550000,35
USDRUB,60,20160216,050000,77.6268000,77.6950000,76.5750000,76.9769000,31
USDRUB,60,20160216,060000,77.0200000,77.2553000,76.4250000,76.4250000,44
USDRUB,60,20160216,070000,76.8890000,77.1698000,76.3500000,76.6375000,117
USDRUB,60,20160216,080000,76.8130000,77.1688000,76.6375000,76.6375000,106
USDRUB,60,20160216,090000,76.8450000,76.9626000,76.1000000,76.4935000,88
USDRUB,60,20160216,100000,76.7200000,77.3305000,76.1791000,76.4935000,106
USDRUB,60,20160216,110000,76.7410000,77.2275000,76.2000000,76.5797000,718
USDRUB,60,20160216,120000,76.7408000,76.8370000,76.1000000,76.4797000,1344
USDRUB,60,20160216,130000,76.4797000,76.5818000,75.8569000,76.2675000,61825
USDRUB,60,20160216,140000,76.2675000,76.8061000,76.0897000,76.5271000,57252
USDRUB,60,20160216,150000,76.5916000,77.4702000,76.3144000,77.3297000,64689
USDRUB,60,20160216,160000,77.3326000,77.4567000,77.0494000,77.3311000,63434
USDRUB,60,20160216,170000,77.3311000,77.4880000,77.1194000,77.3569000,57079
USDRUB,60,20160216,180000,77.3569000,77.5552000,76.9030000,77.1539000,58875
USDRUB,60,20160216,190000,77.1536000,77.8364000,77.1044000,77.5644000,60252
USDRUB,60,20160216,200000,77.5644000,77.8868000,77.4140000,77.8374000,56233
USDRUB,60,20160216,210000,77.8392000,78.1246000,77.7410000,77.8481000,54885
USDRUB,60,20160216,220000,77.8481000,78.0846000,77.4250000,77.5271000,42374
USDRUB,60,20160216,230000,77.5271000,77.8823000,77.3780000,77.6491000,31271
USDRUB,60,20160217,000000,77.6491000,78.0586000,77.5170000,77.8671000,28012
USDRUB,60,20160217,010000,77.9021000,77.9123000,77.6310000,77.8078000,32745
USDRUB,60,20160217,020000,77.8375000,78.7250000,77.1245000,77.8025000,16379
USDRUB,60,20160217,030000,78.1465000,78.1465000,77.6471000,77.8995000,45
USDRUB,60,20160217,040000,78.1950000,78.1950000,77.6264000,78.1045000,86
USDRUB,60,20160217,050000,78.0950000,78.1013000,77.7715000,77.8649000,30
USDRUB,60,20160217,060000,77.8550000,78.0950000,77.7715000,77.9122000,27
